TRANSACTION_ID,T_DAT,T_CUSTOMER_ID,T_ARTICLE_ID,PRICE,SALES_CHANNEL_ID
1,2018-09-20,90255,21859,0.008457627119,2
2,2018-09-20,94028,56445,0.008457627119,1
3,2018-09-20,97194,28968,0.01354237288,1
4,2018-09-20,166385,12233,0.01693220339,1
5,2018-09-20,248668,38312,0.08472881356,2
6,2018-09-20,381874,35848,0.1016779661,2
7,2018-09-20,398837,45570,0.01354237288,2
8,2018-09-20,399517,960,0.008457627119,1
9,2018-09-20,451516,9057,0.0203220339,2
10,2018-09-20,614199,33541,0.06777966102,2
11,2018-09-20,781468,18926,0.01693220339,2
12,2018-09-20,926971,8224,0.01523728814,2
13,2018-09-20,1102880,29188,0.001677966102,1
14,2018-09-20,1219792,9057,0.0203220339,2
15,2018-09-21,44139,32655,0.02303389831,1
16,2018-09-21,56600,34622,0.01693220339,2
17,2018-09-21,131678,28968,0.01354237288,1
18,2018-09-21,194382,41827,0.0423559322,2
19,2018-09-21,495221,19852,0.01693220339,2
20,2018-09-21,501931,33541,0.06354237288,1
21,2018-09-21,502192,30147,0.05083050847,2
22,2018-09-21,518428,9251,0.03388135593,2
23,2018-09-21,518428,45414,0.1186271186,2
24,2018-09-21,539026,9264,0.01354237288,2
25,2018-09-21,551750,56559,0.03388135593,2
26,2018-09-21,608051,25273,0.02540677966,1
27,2018-09-21,712884,10043,0.02540677966,2
28,2018-09-21,847331,6059,0.01693220339,1
29,2018-09-21,1286143,33541,0.06777966102,2
30,2018-09-22,171955,29685,0.008457627119,1
31,2018-09-22,247387,39965,0.05083050847,1
32,2018-09-22,752998,11858,0.0423559322,1
33,2018-09-22,862583,3713,0.01693220339,1
34,2018-09-22,905752,9320,0.02540677966,1
35,2018-09-23,194382,13282,0.03388135593,2
36,2018-09-23,232507,3951,0.02201694915,2
37,2018-09-23,355554,21642,0.0423559322,2
38,2018-09-23,404128,36492,0.03388135593,2
39,2018-09-23,424331,1194,0.02540677966,2
40,2018-09-23,424331,11305,0.1016779661,2
41,2018-09-23,424331,53580,0.0423559322,2
42,2018-09-23,424950,13282,0.03388135593,2
43,2018-09-23,432200,4013,0.01693220339,1
44,2018-09-23,948943,25059,0.0203220339,2
45,2018-09-23,969187,9775,0.01693220339,2
46,2018-09-23,1041839,44072,0.01693220339,2
47,2018-09-23,1064396,43736,0.03388135593,1
48,2018-09-24,25462,74,0.01354237288,1
49,2018-09-24,37409,8224,0.01523728814,2
50,2018-09-24,50212,16595,0.02540677966,2
51,2018-09-24,68789,1646,0.02540677966,2
52,2018-09-24,281544,950,0.01354237288,2
53,2018-09-24,281544,26364,0.01015254237,2
54,2018-09-24,328312,17672,0.01354237288,2
55,2018-09-24,330755,33684,0.03388135593,2
56,2018-09-24,422874,1649,0.02540677966,2
57,2018-09-24,728720,396,0.01693220339,2
58,2018-09-24,753371,24213,0.02540677966,2
59,2018-09-24,831308,21642,0.0423559322,2
60,2018-09-24,1157428,25348,0.05083050847,2
61,2018-09-24,1219953,29138,0.01354237288,2
62,2018-09-24,1219953,46512,0.1355762712,2
63,2018-09-24,1256242,44072,0.01693220339,2
64,2018-09-25,189161,45465,0.01523728814,1
65,2018-09-25,201687,20774,0.02879661017,2
66,2018-09-25,280389,3929,0.02322033898,1
67,2018-09-25,310197,37215,0.01693220339,1
68,2018-09-25,384508,24271,0.01354237288,2
69,2018-09-25,396185,29423,0.01862711864,2
70,2018-09-25,566809,27827,0.01184745763,2
71,2018-09-25,680980,5965,0.02540677966,1
72,2018-09-25,1174043,35361,0.03388135593,2
73,2018-09-25,1190935,396,0.01693220339,2
74,2018-09-25,1301887,3959,0.02201694915,2
75,2018-09-25,1316281,33007,0.02540677966,2
76,2018-09-25,1316281,47421,0.03388135593,2
77,2018-09-25,1328308,43636,0.008457627119,2
78,2018-09-26,37010,5887,0.02879661017,2
79,2018-09-26,228727,16304,0.0423559322,2
80,2018-09-26,228727,17790,0.04744067797,2
81,2018-09-26,237388,21104,0.01184745763,2
82,2018-09-26,323778,8007,0.03388135593,2
83,2018-09-26,443596,28896,0.08472881356,2
84,2018-09-26,613312,40452,0.05083050847,2
85,2018-09-26,772625,396,0.01693220339,2
86,2018-09-26,781468,18926,0.01693220339,2
87,2018-09-26,848366,13098,0.02201694915,2
88,2018-09-26,876328,25658,0.01693220339,2
89,2018-09-26,1108733,53247,0.02201694915,1
90,2018-09-26,1314279,42243,0.08472881356,2
91,2018-09-27,228727,16304,0.0423559322,2
92,2018-09-27,228727,17790,0.04744067797,2
93,2018-09-27,472071,41843,0.05083050847,1
94,2018-09-27,502192,20940,0.03388135593,2
95,2018-09-27,516934,6916,0.01693220339,1
96,2018-09-27,568207,40324,0.01354237288,1
97,2018-09-27,568207,40937,0.02540677966,1
98,2018-09-27,856727,10648,0.01283050847,1
99,2018-09-27,876328,59563,0.01354237288,2
100,2018-09-27,924650,32264,0.0423559322,2
101,2018-09-27,941141,47002,0.03388135593,1
102,2018-09-28,98645,14442,0.008457627119,2
103,2018-09-28,113435,453,0.01693220339,1
104,2018-09-28,146683,3579,0.01083050847,1
105,2018-09-28,160751,2213,0.06777966102,1
106,2018-09-28,160751,37735,0.02711864407,1
107,2018-09-28,180202,50091,0.1016779661,2
108,2018-09-28,204146,42243,0.06354237288,2
109,2018-09-28,330755,33684,0.03388135593,2
110,2018-09-28,678357,1198,0.02286440678,1
111,2018-09-28,711990,26666,0.02140677966,2
112,2018-09-28,711990,33007,0.02471186441,2
113,2018-09-28,792722,25868,0.01693220339,2
114,2018-09-28,848366,21642,0.03991525424,2
115,2018-09-28,916358,21104,0.01184745763,2
116,2018-09-28,961383,11012,0.05930508475,2
117,2018-09-28,1111996,453,0.01354237288,1
118,2018-09-28,1187306,37823,0.03388135593,1
119,2018-09-28,1273510,43839,0.003372881356,2
120,2018-09-28,1305943,6059,0.01355932203,1
121,2018-09-29,22354,747,0.01761016949,1
122,2018-09-29,85700,16004,0.04066101695,1
123,2018-09-29,150981,24213,0.02540677966,2
124,2018-09-29,169737,1311,0.0203220339,1
125,2018-09-29,214052,25348,0.05083050847,2
126,2018-09-29,384825,14836,0.02710169492,1
127,2018-09-29,400421,23791,0.0203220339,2
128,2018-09-29,400872,40395,0.01354237288,1
129,2018-09-29,428049,453,0.01354237288,1
130,2018-09-29,473880,36172,0.03557627119,2
131,2018-09-29,485965,28968,0.01083050847,1
132,2018-09-29,501494,13098,0.03049152542,2
133,2018-09-29,533631,38536,0.05083050847,2
134,2018-09-29,596835,3713,0.01354237288,1
135,2018-09-29,631048,12233,0.01354237288,1
136,2018-09-29,631048,13282,0.02711864407,1
137,2018-09-29,631048,15059,0.005406779661,1
138,2018-09-29,631048,22465,0.01083050847,1
139,2018-09-29,631048,26381,0.01086440678,1
140,2018-09-29,631048,28896,0.06777966102,1
141,2018-09-29,631048,28929,0.0203220339,1
142,2018-09-29,631048,43736,0.02710169492,1
143,2018-09-29,631048,45465,0.01354237288,1
144,2018-09-29,669181,48226,0.02710169492,1
145,2018-09-29,695059,42088,0.02540677966,2
146,2018-09-29,712194,10648,0.01354237288,1
147,2018-09-29,736945,45570,0.01354237288,2
148,2018-09-29,737630,44072,0.01693220339,2
149,2018-09-29,821782,36455,0.01354237288,1
150,2018-09-29,825974,9922,0.04744067797,1
151,2018-09-29,854984,22446,0.006762711864,2
152,2018-09-29,892059,960,0.006762711864,1
153,2018-09-29,922145,29069,0.01693220339,2
154,2018-09-29,953830,4763,0.01354237288,1
155,2018-09-29,953830,39965,0.04066101695,1
156,2018-09-29,962267,48226,0.02710169492,1
157,2018-09-29,1030667,25658,0.01693220339,2
158,2018-09-29,1103389,10850,0.05083050847,2
159,2018-09-29,1132334,32937,0.02710169492,1
160,2018-09-29,1162543,5195,0.04066101695,1
161,2018-09-29,1162543,33081,0.05422033898,1
162,2018-09-29,1162543,38181,0.04066101695,1
163,2018-09-29,1205926,6302,0.02710169492,1
164,2018-09-29,1232199,3734,0.02710169492,1
165,2018-09-29,1243519,48031,0.02710169492,1
166,2018-09-29,1247873,7387,0.02540677966,2
167,2018-09-29,1278710,10043,0.03557627119,2
168,2018-09-29,1288299,6059,0.01355932203,1
169,2018-09-29,1352487,35146,0.01693220339,2
170,2018-09-30,67464,18691,0.006762711864,2
171,2018-09-30,328714,7443,0.02540677966,2
172,2018-09-30,328714,9775,0.01693220339,2
173,2018-09-30,333499,37735,0.03218644068,1
174,2018-09-30,379393,38705,0.01693220339,1
175,2018-09-30,379393,41843,0.05083050847,1
176,2018-09-30,434121,10215,0.02879661017,2
177,2018-09-30,434121,25375,0.03388135593,2
178,2018-09-30,656108,41454,0.1186271186,2
179,2018-09-30,966530,23424,0.01693220339,2
180,2018-09-30,1346947,14836,0.03049152542,1
181,2018-10-01,261494,3713,0.01693220339,2
182,2018-10-01,355338,55539,0.02540677966,1
183,2018-10-01,390356,45570,0.01150847458,2
184,2018-10-01,400872,2969,0.02159322034,2
185,2018-10-01,400872,42088,0.02159322034,2
186,2018-10-01,518329,18938,0.01693220339,2
