book_id,author_id
1,49
2,48
3,29
4,6
5,8
6,27
7,27
8,27
9,28
10,41
11,30
12,31
13,32
14,28
15,33
16,37
17,10
17,39
17,43
17,46
18,30
19,13
20,13
21,13
22,13
23,13
24,13
25,13
26,13
27,38
28,38
29,25
30,1
30,3
30,11
30,12
30,50
30,51
30,58
31,24
32,54
33,57
34,14
35,36
36,4
36,16
36,52
36,53
36,55
37,40
38,42
39,44
40,42
41,56
42,9
43,9
44,17
45,21
46,18
47,22
48,23
49,26
50,26
51,26
52,19
53,20
54,15
55,34
56,47
57,47
58,2
58,5
58,7
58,34
58,35
59,57
60,45
