customer_id,product_id,period_id,demand_usd
1,1,1,825000000.0
1,1,2,830892857.14
1,1,3,836785714.29
1,1,4,842678571.43
1,1,5,848571428.57
1,1,6,854464285.71
1,1,7,860357142.86
1,1,8,866250000.0
1,1,9,872142857.14
1,1,10,878035714.29
1,1,11,883928571.43
1,1,12,889821428.57
1,1,13,895714285.71
1,1,14,901607142.86
1,1,15,907500000.0
1,1,16,913392857.14
1,1,17,919285714.29
1,1,18,925178571.43
1,1,19,931071428.57
1,1,20,936964285.71
1,1,21,942857142.86
1,1,22,948750000.0
1,1,23,954642857.14
1,1,24,960535714.29
1,1,25,966428571.43
1,1,26,972321428.57
1,1,27,978214285.71
1,1,28,984107142.86
1,1,29,990000000.0
1,1,30,995892857.14
1,1,31,1001785714.29
1,1,32,1007678571.43
1,1,33,1013571428.57
1,1,34,1019464285.71
1,1,35,1025357142.86
1,1,36,1031250000.0
1,2,1,275000000.0
1,2,2,276964285.71
1,2,3,278928571.43
1,2,4,280892857.14
1,2,5,282857142.86
1,2,6,284821428.57
1,2,7,286785714.29
1,2,8,288750000.0
1,2,9,290714285.71
1,2,10,292678571.43
1,2,11,294642857.14
1,2,12,296607142.86
1,2,13,298571428.57
1,2,14,300535714.29
1,2,15,302500000.0
1,2,16,304464285.71
1,2,17,306428571.43
1,2,18,308392857.14
1,2,19,310357142.86
1,2,20,312321428.57
1,2,21,314285714.29
1,2,22,316250000.0
1,2,23,318214285.71
1,2,24,320178571.43
1,2,25,322142857.14
1,2,26,324107142.86
1,2,27,326071428.57
1,2,28,328035714.29
1,2,29,330000000.0
1,2,30,331964285.71
1,2,31,333928571.43
1,2,32,335892857.14
1,2,33,337857142.86
1,2,34,339821428.57
1,2,35,341785714.29
1,2,36,343750000.0
1,3,1,550000000.0
1,3,2,553928571.43
1,3,3,557857142.86
1,3,4,561785714.29
1,3,5,565714285.71
1,3,6,569642857.14
1,3,7,573571428.57
1,3,8,577500000.0
1,3,9,581428571.43
1,3,10,585357142.86
1,3,11,589285714.29
1,3,12,593214285.71
1,3,13,597142857.14
1,3,14,601071428.57
1,3,15,605000000.0
1,3,16,608928571.43
1,3,17,612857142.86
1,3,18,616785714.29
1,3,19,620714285.71
1,3,20,624642857.14
1,3,21,628571428.57
1,3,22,632500000.0
1,3,23,636428571.43
1,3,24,640357142.86
1,3,25,644285714.29
1,3,26,648214285.71
1,3,27,652142857.14
1,3,28,656071428.57
1,3,29,660000000.0
1,3,30,663928571.43
1,3,31,667857142.86
1,3,32,671785714.29
1,3,33,675714285.71
1,3,34,679642857.14
1,3,35,683571428.57
1,3,36,687500000.0
1,4,1,91666666.67
1,4,2,92321428.57
1,4,3,92976190.48
1,4,4,93630952.38
1,4,5,94285714.29
1,4,6,94940476.19
1,4,7,95595238.1
1,4,8,96250000.0
1,4,9,96904761.9
1,4,10,97559523.81
1,4,11,98214285.71
1,4,12,98869047.62
1,4,13,99523809.52
1,4,14,100178571.43
1,4,15,100833333.33
1,4,16,101488095.24
1,4,17,102142857.14
1,4,18,102797619.05
1,4,19,103452380.95
1,4,20,104107142.86
1,4,21,104761904.76
1,4,22,105416666.67
1,4,23,106071428.57
1,4,24,106726190.48
1,4,25,107380952.38
1,4,26,108035714.29
1,4,27,108690476.19
1,4,28,109345238.1
1,4,29,110000000.0
1,4,30,110654761.9
1,4,31,111309523.81
1,4,32,111964285.71
1,4,33,112619047.62
1,4,34,113273809.52
1,4,35,113928571.43
1,4,36,114583333.33
1,5,1,91666666.67
1,5,2,92321428.57
1,5,3,92976190.48
1,5,4,93630952.38
1,5,5,94285714.29
1,5,6,94940476.19
1,5,7,95595238.1
1,5,8,96250000.0
1,5,9,96904761.9
1,5,10,97559523.81
1,5,11,98214285.71
1,5,12,98869047.62
1,5,13,99523809.52
1,5,14,100178571.43
1,5,15,100833333.33
1,5,16,101488095.24
1,5,17,102142857.14
1,5,18,102797619.05
1,5,19,103452380.95
1,5,20,104107142.86
1,5,21,104761904.76
1,5,22,105416666.67
1,5,23,106071428.57
1,5,24,106726190.48
1,5,25,107380952.38
1,5,26,108035714.29
1,5,27,108690476.19
1,5,28,109345238.1
1,5,29,110000000.0
1,5,30,110654761.9
1,5,31,111309523.81
1,5,32,111964285.71
1,5,33,112619047.62
1,5,34,113273809.52
1,5,35,113928571.43
1,5,36,114583333.33
2,1,1,333333333.33
2,1,2,335714285.71
2,1,3,338095238.1
2,1,4,340476190.48
2,1,5,342857142.86
2,1,6,345238095.24
2,1,7,347619047.62
2,1,8,350000000.0
2,1,9,352380952.38
2,1,10,354761904.76
2,1,11,357142857.14
2,1,12,359523809.52
2,1,13,361904761.9
2,1,14,364285714.29
2,1,15,366666666.67
2,1,16,369047619.05
2,1,17,371428571.43
2,1,18,373809523.81
2,1,19,376190476.19
2,1,20,378571428.57
2,1,21,380952380.95
2,1,22,383333333.33
2,1,23,385714285.71
2,1,24,388095238.1
2,1,25,390476190.48
2,1,26,392857142.86
2,1,27,395238095.24
2,1,28,397619047.62
2,1,29,400000000.0
2,1,30,402380952.38
2,1,31,404761904.76
2,1,32,407142857.14
2,1,33,409523809.52
2,1,34,411904761.9
2,1,35,414285714.29
2,1,36,416666666.67
2,2,1,166666666.67
2,2,2,167857142.86
2,2,3,169047619.05
2,2,4,170238095.24
2,2,5,171428571.43
2,2,6,172619047.62
2,2,7,173809523.81
2,2,8,175000000.0
2,2,9,176190476.19
2,2,10,177380952.38
2,2,11,178571428.57
2,2,12,179761904.76
2,2,13,180952380.95
2,2,14,182142857.14
2,2,15,183333333.33
2,2,16,184523809.52
2,2,17,185714285.71
2,2,18,186904761.9
2,2,19,188095238.1
2,2,20,189285714.29
2,2,21,190476190.48
2,2,22,191666666.67
2,2,23,192857142.86
2,2,24,194047619.05
2,2,25,195238095.24
2,2,26,196428571.43
2,2,27,197619047.62
2,2,28,198809523.81
2,2,29,200000000.0
2,2,30,201190476.19
2,2,31,202380952.38
2,2,32,203571428.57
2,2,33,204761904.76
2,2,34,205952380.95
2,2,35,207142857.14
2,2,36,208333333.33
2,3,1,250000000.0
2,3,2,251785714.29
2,3,3,253571428.57
2,3,4,255357142.86
2,3,5,257142857.14
2,3,6,258928571.43
2,3,7,260714285.71
2,3,8,262500000.0
2,3,9,264285714.29
2,3,10,266071428.57
2,3,11,267857142.86
2,3,12,269642857.14
2,3,13,271428571.43
2,3,14,273214285.71
2,3,15,275000000.0
2,3,16,276785714.29
2,3,17,278571428.57
2,3,18,280357142.86
2,3,19,282142857.14
2,3,20,283928571.43
2,3,21,285714285.71
2,3,22,287500000.0
2,3,23,289285714.29
2,3,24,291071428.57
2,3,25,292857142.86
2,3,26,294642857.14
2,3,27,296428571.43
2,3,28,298214285.71
2,3,29,300000000.0
2,3,30,301785714.29
2,3,31,303571428.57
2,3,32,305357142.86
2,3,33,307142857.14
2,3,34,308928571.43
2,3,35,310714285.71
2,3,36,312500000.0
2,4,1,41666666.67
2,4,2,41964285.71
2,4,3,42261904.76
2,4,4,42559523.81
2,4,5,42857142.86
2,4,6,43154761.9
2,4,7,43452380.95
2,4,8,43750000.0
2,4,9,44047619.05
2,4,10,44345238.1
2,4,11,44642857.14
2,4,12,44940476.19
2,4,13,45238095.24
2,4,14,45535714.29
2,4,15,45833333.33
2,4,16,46130952.38
2,4,17,46428571.43
2,4,18,46726190.48
2,4,19,47023809.52
2,4,20,47321428.57
2,4,21,47619047.62
2,4,22,47916666.67
2,4,23,48214285.71
2,4,24,48511904.76
2,4,25,48809523.81
2,4,26,49107142.86
2,4,27,49404761.9
2,4,28,49702380.95
2,4,29,50000000.0
2,4,30,50297619.05
2,4,31,50595238.1
2,4,32,50892857.14
2,4,33,51190476.19
2,4,34,51488095.24
2,4,35,51785714.29
2,4,36,52083333.33
2,5,1,41666666.67
2,5,2,41964285.71
2,5,3,42261904.76
2,5,4,42559523.81
2,5,5,42857142.86
2,5,6,43154761.9
2,5,7,43452380.95
2,5,8,43750000.0
2,5,9,44047619.05
2,5,10,44345238.1
2,5,11,44642857.14
2,5,12,44940476.19
2,5,13,45238095.24
2,5,14,45535714.29
2,5,15,45833333.33
2,5,16,46130952.38
2,5,17,46428571.43
2,5,18,46726190.48
2,5,19,47023809.52
2,5,20,47321428.57
2,5,21,47619047.62
2,5,22,47916666.67
2,5,23,48214285.71
2,5,24,48511904.76
2,5,25,48809523.81
2,5,26,49107142.86
2,5,27,49404761.9
2,5,28,49702380.95
2,5,29,50000000.0
2,5,30,50297619.05
2,5,31,50595238.1
2,5,32,50892857.14
2,5,33,51190476.19
2,5,34,51488095.24
2,5,35,51785714.29
2,5,36,52083333.33
3,1,1,145833333.33
3,1,2,146875000.0
3,1,3,147916666.67
3,1,4,148958333.33
3,1,5,150000000.0
3,1,6,151041666.67
3,1,7,152083333.33
3,1,8,153125000.0
3,1,9,154166666.67
3,1,10,155208333.33
3,1,11,156250000.0
3,1,12,157291666.67
3,1,13,158333333.33
3,1,14,159375000.0
3,1,15,160416666.67
3,1,16,161458333.33
3,1,17,162500000.0
3,1,18,163541666.67
3,1,19,164583333.33
3,1,20,165625000.0
3,1,21,166666666.67
3,1,22,167708333.33
3,1,23,168750000.0
3,1,24,169791666.67
3,1,25,170833333.33
3,1,26,171875000.0
3,1,27,172916666.67
3,1,28,173958333.33
3,1,29,175000000.0
3,1,30,176041666.67
3,1,31,177083333.33
3,1,32,178125000.0
3,1,33,179166666.67
3,1,34,180208333.33
3,1,35,181250000.0
3,1,36,182291666.67
3,2,1,104166666.67
3,2,2,104910714.29
3,2,3,105654761.9
3,2,4,106398809.52
3,2,5,107142857.14
3,2,6,107886904.76
3,2,7,108630952.38
3,2,8,109375000.0
3,2,9,110119047.62
3,2,10,110863095.24
3,2,11,111607142.86
3,2,12,112351190.48
3,2,13,113095238.1
3,2,14,113839285.71
3,2,15,114583333.33
3,2,16,115327380.95
3,2,17,116071428.57
3,2,18,116815476.19
3,2,19,117559523.81
3,2,20,118303571.43
3,2,21,119047619.05
3,2,22,119791666.67
3,2,23,120535714.29
3,2,24,121279761.9
3,2,25,122023809.52
3,2,26,122767857.14
3,2,27,123511904.76
3,2,28,124255952.38
3,2,29,125000000.0
3,2,30,125744047.62
3,2,31,126488095.24
3,2,32,127232142.86
