transaction_id,step,step_ts,is_fraud
2657,1,2020-01-01 01:00:00,0
2302,1,2020-01-01 01:00:00,1
2329,1,2020-01-01 01:00:00,0
725,1,2020-01-01 01:00:00,1
4,1,2020-01-01 01:00:00,1
1913,1,2020-01-01 01:00:00,0
970,1,2020-01-01 01:00:00,1
681,1,2020-01-01 01:00:00,1
971,1,2020-01-01 01:00:00,1
253,1,2020-01-01 01:00:00,1
682,1,2020-01-01 01:00:00,1
252,1,2020-01-01 01:00:00,1
1871,1,2020-01-01 01:00:00,1
1912,1,2020-01-01 01:00:00,1
664,1,2020-01-01 01:00:00,0
2303,1,2020-01-01 01:00:00,1
1870,1,2020-01-01 01:00:00,1
1377,1,2020-01-01 01:00:00,0
3,1,2020-01-01 01:00:00,1
2127,1,2020-01-01 01:00:00,0
1117,1,2020-01-01 01:00:00,1
1116,1,2020-01-01 01:00:00,1
3163,2,2020-01-01 02:00:00,1
3061,2,2020-01-01 02:00:00,1
3684,2,2020-01-01 02:00:00,1
3272,2,2020-01-01 02:00:00,1
3164,2,2020-01-01 02:00:00,1
3604,2,2020-01-01 02:00:00,0
3273,2,2020-01-01 02:00:00,1
2824,2,2020-01-01 02:00:00,0
3060,2,2020-01-01 02:00:00,1
3685,2,2020-01-01 02:00:00,1
4261,3,2020-01-01 03:00:00,1
4104,3,2020-01-01 03:00:00,1
4262,3,2020-01-01 03:00:00,1
4105,3,2020-01-01 03:00:00,1
4669,4,2020-01-01 04:00:00,1
4441,4,2020-01-01 04:00:00,1
4668,4,2020-01-01 04:00:00,1
4777,4,2020-01-01 04:00:00,1
4694,4,2020-01-01 04:00:00,1
4442,4,2020-01-01 04:00:00,1
4776,4,2020-01-01 04:00:00,1
4443,4,2020-01-01 04:00:00,1
4695,4,2020-01-01 04:00:00,1
4444,4,2020-01-01 04:00:00,1
4858,5,2020-01-01 05:00:00,1
4859,5,2020-01-01 05:00:00,1
5468,5,2020-01-01 05:00:00,1
5125,5,2020-01-01 05:00:00,1
5072,5,2020-01-01 05:00:00,0
5467,5,2020-01-01 05:00:00,1
5124,5,2020-01-01 05:00:00,1
5560,6,2020-01-01 06:00:00,1
6748,6,2020-01-01 06:00:00,0
7030,6,2020-01-01 06:00:00,1
5995,6,2020-01-01 06:00:00,1
6708,6,2020-01-01 06:00:00,1
5559,6,2020-01-01 06:00:00,1
5853,6,2020-01-01 06:00:00,1
5747,6,2020-01-01 06:00:00,1
5996,6,2020-01-01 06:00:00,1
6707,6,2020-01-01 06:00:00,1
6703,6,2020-01-01 06:00:00,1
7156,6,2020-01-01 06:00:00,1
7003,6,2020-01-01 06:00:00,1
7155,6,2020-01-01 06:00:00,1
6899,6,2020-01-01 06:00:00,1
6585,6,2020-01-01 06:00:00,1
7004,6,2020-01-01 06:00:00,1
6898,6,2020-01-01 06:00:00,1
6704,6,2020-01-01 06:00:00,1
5748,6,2020-01-01 06:00:00,1
5854,6,2020-01-01 06:00:00,1
6584,6,2020-01-01 06:00:00,1
7031,6,2020-01-01 06:00:00,1
13867,7,2020-01-01 07:00:00,0
12469,7,2020-01-01 07:00:00,1
7233,7,2020-01-01 07:00:00,0
11421,7,2020-01-01 07:00:00,0
10220,7,2020-01-01 07:00:00,1
12869,7,2020-01-01 07:00:00,0
10219,7,2020-01-01 07:00:00,1
10397,7,2020-01-01 07:00:00,1
12215,7,2020-01-01 07:00:00,1
10396,7,2020-01-01 07:00:00,1
12181,7,2020-01-01 07:00:00,1
9285,7,2020-01-01 07:00:00,1
12468,7,2020-01-01 07:00:00,1
12216,7,2020-01-01 07:00:00,1
10313,7,2020-01-01 07:00:00,0
9625,7,2020-01-01 07:00:00,0
12180,7,2020-01-01 07:00:00,1
9286,7,2020-01-01 07:00:00,1
14862,8,2020-01-01 08:00:00,1
14953,8,2020-01-01 08:00:00,0
23415,8,2020-01-01 08:00:00,0
32960,8,2020-01-01 08:00:00,0
31381,8,2020-01-01 08:00:00,0
23748,8,2020-01-01 08:00:00,0
27416,8,2020-01-01 08:00:00,0
24968,8,2020-01-01 08:00:00,1
34721,8,2020-01-01 08:00:00,0
18485,8,2020-01-01 08:00:00,0
24166,8,2020-01-01 08:00:00,0
30265,8,2020-01-01 08:00:00,0
18773,8,2020-01-01 08:00:00,1
26222,8,2020-01-01 08:00:00,0
34592,8,2020-01-01 08:00:00,0
31647,8,2020-01-01 08:00:00,0
25876,8,2020-01-01 08:00:00,1
27941,8,2020-01-01 08:00:00,0
20493,8,2020-01-01 08:00:00,0
20498,8,2020-01-01 08:00:00,0
19463,8,2020-01-01 08:00:00,0
27711,8,2020-01-01 08:00:00,0
14166,8,2020-01-01 08:00:00,0
34170,8,2020-01-01 08:00:00,1
23966,8,2020-01-01 08:00:00,0
19583,8,2020-01-01 08:00:00,0
25502,8,2020-01-01 08:00:00,0
24967,8,2020-01-01 08:00:00,1
22081,8,2020-01-01 08:00:00,0
33474,8,2020-01-01 08:00:00,1
27830,8,2020-01-01 08:00:00,0
33473,8,2020-01-01 08:00:00,1
23244,8,2020-01-01 08:00:00,0
31033,8,2020-01-01 08:00:00,0
20202,8,2020-01-01 08:00:00,0
33914,8,2020-01-01 08:00:00,1
24844,8,2020-01-01 08:00:00,0
34169,8,2020-01-01 08:00:00,1
23466,8,2020-01-01 08:00:00,0
20392,8,2020-01-01 08:00:00,0
19070,8,2020-01-01 08:00:00,0
33915,8,2020-01-01 08:00:00,1
31764,8,2020-01-01 08:00:00,0
18772,8,2020-01-01 08:00:00,1
57724,9,2020-01-01 09:00:00,0
69202,9,2020-01-01 09:00:00,1
59153,9,2020-01-01 09:00:00,0
60854,9,2020-01-01 09:00:00,1
44568,9,2020-01-01 09:00:00,0
64818,9,2020-01-01 09:00:00,0
59400,9,2020-01-01 09:00:00,0
49886,9,2020-01-01 09:00:00,1
49827,9,2020-01-01 09:00:00,1
64851,9,2020-01-01 09:00:00,0
57960,9,2020-01-01 09:00:00,0
37079,9,2020-01-01 09:00:00,0
69203,9,2020-01-01 09:00:00,1
59721,9,2020-01-01 09:00:00,0
56479,9,2020-01-01 09:00:00,1
36028,9,2020-01-01 09:00:00,1
51620,9,2020-01-01 09:00:00,0
66543,9,2020-01-01 09:00:00,0
61677,9,2020-01-01 09:00:00,0
68031,9,2020-01-01 09:00:00,0
58308,9,2020-01-01 09:00:00,1
36693,9,2020-01-01 09:00:00,1
47146,9,2020-01-01 09:00:00,1
46260,9,2020-01-01 09:00:00,0
66449,9,2020-01-01 09:00:00,0
61852,9,2020-01-01 09:00:00,0
49403,9,2020-01-01 09:00:00,0
65666,9,2020-01-01 09:00:00,0
48510,9,2020-01-01 09:00:00,0
61549,9,2020-01-01 09:00:00,0
45595,9,2020-01-01 09:00:00,0
52936,9,2020-01-01 09:00:00,0
42701,9,2020-01-01 09:00:00,0
37090,9,2020-01-01 09:00:00,0
43059,9,2020-01-01 09:00:00,0
58309,9,2020-01-01 09:00:00,1
47145,9,2020-01-01 09:00:00,1
56478,9,2020-01-01 09:00:00,1
46142,9,2020-01-01 09:00:00,0
72511,9,2020-01-01 09:00:00,1
51759,9,2020-01-01 09:00:00,0
71958,9,2020-01-01 09:00:00,0
36692,9,2020-01-01 09:00:00,1
59596,9,2020-01-01 09:00:00,0
59590,9,2020-01-01 09:00:00,0
65333,9,2020-01-01 09:00:00,0
61976,9,2020-01-01 09:00:00,0
45413,9,2020-01-01 09:00:00,0
49887,9,2020-01-01 09:00:00,1
72512,9,2020-01-01 09:00:00,1
51265,9,2020-01-01 09:00:00,0
52062,9,2020-01-01 09:00:00,0
36027,9,2020-01-01 09:00:00,1
41272,9,2020-01-01 09:00:00,0
49826,9,2020-01-01 09:00:00,1
71535,9,2020-01-01 09:00:00,0
102182,10,2020-01-01 10:00:00,1
102447,10,2020-01-01 10:00:00,0
88664,10,2020-01-01 10:00:00,0
105723,10,2020-01-01 10:00:00,0
84766,10,2020-01-01 10:00:00,0
106667,10,2020-01-01 10:00:00,0
85592,10,2020-01-01 10:00:00,0
106657,10,2020-01-01 10:00:00,0
90071,10,2020-01-01 10:00:00,1
74787,10,2020-01-01 10:00:00,0
98666,10,2020-01-01 10:00:00,0
73397,10,2020-01-01 10:00:00,0
