date,ticker,return
2021-01,AAPL,0.012791715207687245
2021-01,MSFT,0.021107164726004476
2021-01,NVDA,0.013775022267418398
2021-01,AVGO,0.07609380119185594
2021-01,CRM,0.013796030046359459
2021-01,ADBE,0.059786903448053916
2021-01,ORCL,0.11747107979037111
2021-01,AMD,0.04832491341039232
2021-01,CSCO,0.037329059194423794
2021-01,INTU,0.06746527075657105
2021-01,LLY,0.06005043962412885
2021-01,UNH,0.04933784978606268
2021-01,JNJ,0.044868581017691984
2021-01,MRK,0.03594849430240572
2021-01,ABBV,-0.004196554654032299
2021-01,TMO,-0.009792774669355922
2021-01,ABT,-0.0012094350319540176
2021-01,DHR,0.05149512650321156
2021-01,JPM,0.008817915530006635
2021-01,BAC,0.028546126067859282
2021-01,WFC,0.0242579478332301
2021-01,GS,0.005543636457515572
2021-01,MS,0.0882606667765721
2021-01,AXP,0.04134638819960325
2021-01,BLK,-0.019495982785230626
2021-01,SCHW,-0.004104712316873767
2021-01,AMZN,0.012889671943169232
2021-01,TSLA,0.03943108944466581
2021-01,HD,0.04644863538593561
2021-01,MCD,0.019200521190983876
2021-01,NKE,-0.051259730017868294
2021-01,LOW,0.0694500828496629
2021-01,SBUX,0.011852885929474795
2021-01,BKNG,-0.028479798737468368
2021-01,CAT,0.028633142229099216
2021-01,GE,-0.049557227822193545
2021-01,HON,0.0545728759003629
2021-01,UPS,0.049921724534628
2021-01,RTX,-0.019052633024931872
2021-01,BA,0.04721426550841576
2021-01,DE,0.05641116451780177
2021-01,LMT,0.03722059073732696
2021-01,XOM,0.012925360328957046
2021-01,CVX,0.08174883857101259
2021-01,COP,0.02322286535400712
2021-01,SLB,0.031074457267325828
2021-01,PG,-0.08303687468613787
2021-01,KO,-0.020070507120157476
2021-01,PEP,0.017159073883346653
2021-01,COST,0.037269747029771066
2021-02,AAPL,-0.0060824687181334075
2021-02,MSFT,0.038967584188344326
2021-02,NVDA,0.05021213662215167
2021-02,AVGO,0.0029009658372561448
2021-02,CRM,0.0033206321684043916
2021-02,ADBE,0.01989121129783023
2021-02,ORCL,0.029504015517859698
2021-02,AMD,0.0650166909486176
2021-02,CSCO,-0.03426595880477162
