date,index_return
2021-01,0.02064559235507961
2021-02,0.01604949459903484
2021-03,-0.00014504165875124783
2021-04,0.006416355689287484
2021-05,0.06392743692078712
2021-06,0.03966095153458352
2021-07,0.0258131740040259
2021-08,-0.023405499805943808
2021-09,0.03673056876624578
2021-10,0.030580795084046174
2021-11,0.03772453199320723
2021-12,0.008825612413573686
2022-01,0.007874204686834207
2022-02,0.025333930536644404
2022-03,-0.032300723856686545
2022-04,0.019234464534430593
2022-05,0.004948277802348672
2022-06,-0.012213714364309175
2022-07,0.009849453788589656
2022-08,0.017126318431007342
2022-09,-0.018618666512880286
2022-10,-0.015869585234955366
2022-11,-0.011349376021662184
2022-12,-0.01736682973270345
2023-01,-0.01394294946609742
2023-02,-0.01651482737851505
2023-03,0.03586639758759278
2023-04,0.008714188599760569
2023-05,-0.02103871424325625
2023-06,-0.02176686008422132
2023-07,0.0293237052849214
2023-08,0.012440970798757693
2023-09,0.036600445786669655
2023-10,0.019972555637378226
2023-11,0.00704794126706744
2023-12,0.014494090969686584
2024-01,-0.005239430468616833
2024-02,0.005795593432767358
2024-03,0.002641549733129401
2024-04,0.015156534082803217
2024-05,0.004798623639016609
2024-06,0.0009963893321088563
