id,user_id,amount,category,is_flagged
1,1,5200.00,wire_transfer,true
2,1,8100.00,wire_transfer,true
3,1,3400.00,trading,true
4,1,12000.00,withdrawal,true
5,1,6700.00,wire_transfer,true
6,1,9500.00,trading,true
7,1,2100.00,deposit,false
8,2,4500.00,trading,false
9,2,3200.00,deposit,false
10,2,7800.00,wire_transfer,true
11,3,1500.00,trading,false
12,3,6200.00,withdrawal,false
13,3,2800.00,deposit,true
14,4,3300.00,trading,false
15,5,11000.00,wire_transfer,true
16,5,7600.00,withdrawal,true
17,5,4900.00,trading,true
18,5,8200.00,wire_transfer,true
19,5,6100.00,trading,true
20,5,9300.00,wire_transfer,true
21,5,5500.00,withdrawal,true
